Domainx,Domainy,AttrPoints1x,AttrPoints1y,AttrPoints2x,AttrPoints2y,Trace1x,Trace1y,Trace2x,Trace2y,MidPointx,MidPointy,MidPoint2x,MidPoint2y
0.0,0.0,27.923959262333632,40.000014302552344,45.565626720599546,45.565626720599546,0.0,0.0,0.0,0.0,38.7270478090262,31.274869025745772,36.485642473552396,7.971241579764524
0.0,40.0,-1.732555071631836e-16,17.447148960970317,18.16222299052925,18.16222299052925,49.52624657479965,40.000014302552344,45.56337222420053,39.99970014328053,,,,
60.0,40.0,21.602287312544334,-1.388646142519434e-15,-2.3477313843001113e-15,-2.3477313843001113e-15,56.58153120590688,34.301793547494086,55.01948162048394,31.698261467686997,,,,
36.0,0.0,49.53869387374085,22.562918438084296,27.40114923370721,27.40114923370721,14.110569262277174,-1.388646142519434e-15,18.91221879260275,1.7071847407956753e-15,,,,
0.0,0.0,27.923959262333632,40.000014302552344,45.565626720599546,45.565626720599546,-1.732555071631836e-16,11.396441510159503,-2.3477313843001113e-15,16.602877351240902,,,,
,,,,,,35.415677312585196,40.000014302552344,26.65115343163371,39.99970014328053,,,,
,,,,,,51.976030597663986,26.624997739182536,48.494969041724296,20.823198674299583,,,,
,,,,,,19.01013730802822,-1.388646142519434e-15,24.775412427650288,1.7071847407956753e-15,,,,
,,,,,,-1.732555071631836e-16,15.353591616616486,-2.3477313843001113e-15,21.750125586742517,,,,
,,,,,,30.516109266849746,40.000014302552344,20.787959796586172,39.99970014328053,,,,
,,,,,,50.37655268372017,23.9596705318726,46.471934273005,17.451955597727775,,,,
,,,,,,20.710749525877027,-1.388646142519434e-15,26.592536525259227,1.7071847407956753e-15,,,,
,,,,,,-1.732555071631836e-16,16.72709592476636,-2.3477313843001113e-15,23.34536350438452,,,,
,,,,,,28.81549704900094,40.000014302552344,18.970835698977233,39.99970014328053,,,,
,,,,,,49.821091968469254,23.034785654654254,45.845184274077845,16.40693621743624,,,,
,,,,,,21.300440313218928,-1.388646142519434e-15,27.15616062501386,1.7071847407956753e-15,,,,
,,,,,,-1.732555071631836e-16,17.20336137105135,-2.3477313843001113e-15,23.840164347325587,,,,
,,,,,,28.225806261659038,40.000014302552344,18.4072115992226,39.99970014328053,,,,
,,,,,,49.628936791064525,22.713714885456852,45.65054608496258,16.083006598924154,,,,
,,,,,,21.505820745749617,-1.388646142519434e-15,27.33050834653796,1.7071847407956753e-15,,,,
,,,,,,-1.732555071631836e-16,17.369237463161163,-2.3477313843001113e-15,23.99322274140869,,,,
,,,,,,28.02042582912835,40.000014302552344,18.2328638776985,39.99970014328053,,,,
,,,,,,49.56203255925559,22.601874186988873,45.59042618098875,15.982726961421479,,,,
,,,,,,21.577392714661826,-1.388646142519434e-15,27.384616260114406,1.7071847407956753e-15,,,,
,,,,,,-1.732555071631836e-16,17.42704276798731,-2.3477313843001113e-15,24.040723622331033,,,,
,,,,,,27.94885386021614,40.000014302552344,18.178755964122054,39.99970014328053,,,,
,,,,,,49.53869387374085,22.562918438084296,45.57163871099693,15.951719441930589,,,,
,,,,,,21.602287312544334,-1.388646142519434e-15,27.40114923370721,1.7071847407956753e-15,,,,
,,,,,,-1.732555071631836e-16,17.447148960970317,-2.3477313843001113e-15,24.055237780390637,,,,
,,,,,,27.923959262333632,40.000014302552344,18.16222299052925,39.99970014328053,,,,
,,,,,,49.530136355718774,22.549723748939197,45.565626720599546,15.942483159529047,,,,
,,,,,,,,27.405658226505246,1.7071847407956753e-15,,,,
